Stations_ID; Mess_Datum; Qualitaets_Niveau; LUFTTEMPERATUR;DAMPFDRUCK;BEDECKUNGSGRAD;LUFTDRUCK_STATIONSHOEHE;REL_FEUCHTE; WINDGESCHWINDIGKEIT; LUFTTEMPERATUR_MAXIMUM;LUFTTEMPERATUR_MINIMUM;LUFTTEMP_AM_ERDB_MINIMUM; WINDSPITZE_MAXIMUM; NIEDERSCHLAGSHOEHE;NIEDERSCHLAGSHOEHE_IND;SONNENSCHEINDAUER; SCHNEEHOEHE;eor
      232;19470417;   5;   14.9;   9.5;   3.3;  961.10;   59.00;-999;   24.6;    5.3;   -999;-999;   0.0;   1;   11.500;   0;eor
      232;19470418;   5;   12.7;  11.3;   7.7;  959.90;   75.00;-999;   17.7;    8.9;   -999;-999;   4.9;   1;    3.400;   0;eor
      232;19470419;   5;   12.1;   9.6;   5.3;  958.70;   71.00;-999;   18.7;    4.3;   -999;-999;   0.0;   0;    7.800;   0;eor
      232;19470420;   5;   12.6;  10.0;   4.0;  960.00;   70.00;-999;   19.2;    7.4;   -999;-999;   0.0;   1;    9.500;   0;eor
      232;19470421;   5;   10.0;   9.6;   4.3;  964.40;   76.00;-999;   15.7;    7.0;   -999;-999;   1.0;   1;    6.500;   0;eor
      232;19470422;   5;   13.6;   6.9;   6.0;  959.20;   49.00;-999;   22.5;    2.8;   -999;-999;   0.1;   1;    9.900;   0;eor
      232;19470423;   5;    8.9;   9.6;   5.0;  959.90;   81.00;-999;   14.3;    6.8;   -999;-999;   6.5;   1;    6.000;   0;eor
      232;19470424;   5;   11.6;   7.5;   6.7;  964.60;   53.00;-999;   16.6;    4.7;   -999;-999;   0.0;   0;    8.800;   0;eor
      232;19470425;   5;   13.4;   8.5;   2.0;  970.00;   58.00;-999;   20.7;    4.1;   -999;-999;   0.0;   0;   13.300;   0;eor
      232;19470426;   5;   15.7;  11.3;   6.7;  966.20;   65.00;-999;   25.3;    6.0;   -999;-999;   3.4;   1;    8.600;   0;eor
      232;19470427;   5;   16.3;  12.3;   3.7;  963.10;   70.00;-999;   22.8;    6.9;   -999;-999;   0.0;   0;    9.600;   0;eor
      232;19470428;   5;   14.9;  10.8;   6.7;  957.80;   61.00;-999;   21.3;   11.2;   -999;-999;   1.9;   1;    5.000;   0;eor
      232;19470429;   5;    9.4;   6.8;   3.7;  962.20;   59.00;-999;   15.1;    6.8;   -999;-999;   0.0;   0;   12.400;   0;eor
      232;19470430;   5;   11.8;   7.7;   4.3;  950.70;   56.00;-999;   19.0;    3.2;   -999;-999;   0.0;   1;    9.200;   0;eor
      232;19470501;   5;    9.9;   6.5;   7.3;  954.70;   54.00;-999;   11.7;    7.2;   -999;-999;   0.0;   0;    0.700;   0;eor
      232;19470502;   5;   13.7;  10.7;   6.3;  952.60;   67.00;-999;   20.4;    5.1;   -999;-999;   0.0;   0;    3.000;   0;eor
      232;19470503;   5;   16.6;  12.4;   7.7;  952.60;   68.00;-999;   22.0;    8.7;   -999;-999;   0.0;   0;    2.500;   0;eor
      232;19470504;   5;   11.4;   9.5;   6.7;  953.40;   70.00;-999;   17.8;    8.1;   -999;-999;   4.5;   1;    5.600;   0;eor
      232;19470505;   5;    6.7;   9.3;   8.0;  957.90;   94.00;-999;   10.2;    5.8;   -999;-999;  11.9;   1;    0.000;   0;eor
      232;19470506;   5;    9.1;   9.6;   6.7;  961.80;   84.00;-999;   14.2;    5.5;   -999;-999;   0.0;   0;    4.400;   0;eor
      232;19470507;   5;   13.0;   9.9;   1.3;  961.10;   69.00;-999;   20.4;    2.5;   -999;-999;   0.0;   0;   13.500;   0;eor
      232;19470508;   5;   14.6;  11.3;   2.0;  959.50;   70.00;-999;   22.8;    5.7;   -999;-999;   0.0;   0;   12.000;   0;eor
      232;19470509;   5;   16.5;  10.9;   2.7;  957.40;   60.00;-999;   24.4;    8.3;   -999;-999;   0.0;   0;   12.600;   0;eor
      232;19470510;   5;   13.8;  11.1;   4.7;  956.70;   69.00;-999;   22.8;    7.8;   -999;-999;   1.6;   1;    7.000;   0;eor
      232;19470511;   5;   15.4;  11.2;   5.3;  958.70;   68.00;-999;   23.4;    6.3;   -999;-999;   0.0;   0;   10.500;   0;eor
      232;19470512;   5;   17.2;  10.1;   4.3;  958.20;   58.00;-999;   25.6;    7.2;   -999;-999;   0.0;   0;   12.800;   0;eor
      232;19470513;   5;   18.1;  10.0;   6.7;  955.50;   53.00;-999;   25.2;    8.5;   -999;-999;   0.0;   0;    9.400;   0;eor
      232;19470514;   5;   16.4;  11.3;   6.3;  951.60;   64.00;-999;   24.1;    9.7;   -999;-999;   0.0;   1;    4.700;   0;eor
      232;19470515;   5;   15.5;  13.2;   7.3;  952.30;   75.00;-999;   21.3;    8.0;   -999;-999;  41.7;   1;    1.800;   0;eor
      232;19470516;   5;    7.9;   9.7;   8.0;  957.10;   91.00;-999;   14.2;    7.0;   -999;-999;   1.6;   1;    0.000;   0;eor
      232;19470517;   5;   11.0;   9.6;   7.3;  955.80;   75.00;-999;   14.7;    4.9;   -999;-999;   0.0;   0;    2.000;   0;eor
      232;19470518;   5;   11.1;   9.7;   6.7;  953.80;   75.00;-999;   15.4;    6.5;   -999;-999;   0.0;   1;    2.500;   0;eor
      232;19470519;   5;   12.7;  10.5;   7.3;  956.20;   73.00;-999;   18.2;    8.6;   -999;-999;   0.8;   1;    4.500;   0;eor
      232;19470520;   5;   13.5;  11.3;   5.3;  959.00;   75.00;-999;   19.2;    8.0;   -999;-999;   0.0;   0;   11.300;   0;eor
      232;19470521;   5;   13.3;  10.8;   7.3;  959.40;   73.00;-999;   16.8;    8.6;   -999;-999;   3.9;   1;    2.200;   0;eor
      232;19470522;   5;   14.6;  13.2;   7.7;  955.10;   80.00;-999;   19.8;   10.6;   -999;-999;   4.2;   1;    2.000;   0;eor
      232;19470523;   5;   16.6;  13.5;   6.0;  951.40;   74.00;-999;   21.7;    8.0;   -999;-999;   0.0;   0;    7.800;   0;eor
      232;19470524;   5;   16.4;  13.1;   4.7;  951.90;   72.00;-999;   23.4;   11.2;   -999;-999;   0.0;   0;   10.800;   0;eor
      232;19470525;   5;   18.8;  13.5;   6.7;  956.70;   65.00;-999;   23.6;   10.6;   -999;-999;   0.6;   1;    6.500;   0;eor
      232;19470526;   5;   20.4;  14.1;   3.0;  958.80;   64.00;-999;   26.3;   10.2;   -999;-999;   0.0;   0;   12.800;   0;eor
      232;19470527;   5;   19.2;  15.3;   5.7;  960.60;   70.00;-999;   26.6;   11.2;   -999;-999;   1.3;   1;    9.100;   0;eor
      232;19470528;   5;   19.0;  14.0;   2.7;  961.80;   66.00;-999;   24.4;   12.8;   -999;-999;   0.0;   0;   11.000;   0;eor
      232;19470529;   5;   18.7;  12.0;   1.3;  963.10;   59.00;-999;   25.0;   11.4;   -999;-999;   0.0;   0;   14.500;   0;eor
      232;19470530;   5;   18.8;  11.5;   0.0;  962.70;   58.00;-999;   25.1;    9.6;   -999;-999;   0.0;   0;   15.000;   0;eor
      232;19470531;   5;   20.7;  12.9;   1.0;  960.60;   59.00;-999;   28.6;   10.3;   -999;-999;   0.0;   0;   15.000;   0;eor
      232;19470601;   5;   22.6;  15.9;   1.7;  959.60;   61.00;-999;   30.0;   11.0;   -999;-999;   0.0;   0;   14.500;   0;eor
      232;19470602;   5;   23.9;  15.3;   2.3;  958.20;   56.00;-999;   30.9;   14.1;   -999;-999;   0.0;   0;   14.800;   0;eor
